time,position,positionVelocity,angle,angleVelocity,force,calculationTime
3.22,-0.0451016328276594,-0.2629014665146,0.00800225327299837,0.0157654123994943,0.0864208117127419,0.0032
3.24,-0.0503439622778331,-0.261332233226809,0.00831784781814471,0.0158106469177181,0.0918508172035217,0.003649
3.26,-0.0555538928431655,-0.259661578782531,0.00863375425252065,0.0157966178356307,0.0969744399189949,0.002366
3.28,-0.0607294558731307,-0.257895477821006,0.00894887676753013,0.0157322138323843,0.102145344018936,0.002196
3.3,-0.065868733051503,-0.256032989303779,0.00926219049427854,0.0156156439425088,0.107252508401871,0.002188
3.32,-0.0709698087558584,-0.254075323633349,0.00957266398138248,0.0154480405319342,0.111986838281155,0.002155
3.34,-0.076030851737834,-0.252029708075063,0.00987937570195012,0.0152392694560653,0.116381391882896,0.002472
3.36,-0.0810501687209095,-0.249902712990118,0.0101815890634689,0.014997968028051,0.120356485247612,0.004193
3.38,-0.0860262132867818,-0.247702454302482,0.0104787614080444,0.0147349025969701,0.124261379241943,0.003693
3.4,-0.0909575331175878,-0.245430226400249,0.0107704616469514,0.0144504696128738,0.127887666225433,0.0023
3.42,-0.0958427423877435,-0.243091384284089,0.0110563262929869,0.0141510363270283,0.131263703107834,0.002359
3.44,-0.100680556792318,-0.240690725301088,0.0113361098861372,0.0138420444179657,0.134416595101357,0.002735
3.46,-0.105469782654267,-0.23823251513234,0.0116096672018675,0.0135280810298369,0.137372210621834,0.003287
3.48,-0.110209306546014,-0.23572051324455,0.0118769368211472,0.0132129439792611,0.140153825283051,0.002997
3.5,-0.114898085682379,-0.233158024575381,0.0121379263511729,0.0128997417050533,0.142783552408218,0.002538
3.52,-0.119535139066042,-0.230547923106745,0.012392699181653,0.012590946955457,0.145281240344048,0.002384
3.54,-0.124119539317791,-0.227892696772744,0.0126413625970326,0.0122884787662357,0.147665038704872,0.002369
3.56,-0.128650405292814,-0.225194481159271,0.0128840573266645,0.0119937643528263,0.149951219558716,0.002599
3.58,-0.133126895404431,-0.222455096551628,0.0131209483534853,0.0117078031349759,0.151498541235924,0.003093
3.6,-0.137548329619469,-0.219688878510949,0.0133524089507437,0.0114504356611282,0.152852609753609,0.00355
3.62,-0.141914208226149,-0.21689952418847,0.013579051039026,0.0112256986932282,0.153869554400444,0.002517
3.64,-0.146224133620278,-0.214093547489395,0.0138016114164252,0.0110420497857219,0.155088901519775,0.002497
3.66,-0.150477733313756,-0.21126694615265,0.0140208405593097,0.0108923999504859,0.156493708491325,0.002373
3.68,-0.154674558180195,-0.208416058288242,0.0142373543459485,0.0107703712828503,0.158066362142563,0.002689
3.7,-0.158814089374535,-0.205537573630735,0.0144516480644819,0.010670276328813,0.159819737076759,0.00471
3.72,-0.162895739399931,-0.202627936989513,0.0146641009288218,0.0105861890124446,0.163443028926849,0.004033
3.74,-0.166918520098864,-0.199650636030053,0.0148744801073935,0.0104627987169804,0.167247071862221,0.002854
3.76,-0.170881042581212,-0.196602108353556,0.0150819392504128,0.0102940318955904,0.170644849538803,0.002795
3.78,-0.174781961123639,-0.193490233148963,0.0152856796153397,0.0100907253029861,0.173524037003517,0.003003
3.8,-0.178620109399668,-0.190325071504042,0.0154851497880346,0.00986678803426372,0.176201522350311,0.004852
3.82,-0.182394460405633,-0.187110495053601,0.0156799823025837,0.00962671550724703,0.178694292902946,0.003561
3.84,-0.186104061207411,-0.18385003931754,0.0158698935613141,0.00937440354182508,0.181031301617622,0.003266
3.86,-0.189748023894792,-0.180546671331598,0.0160546685916048,0.00911282243529328,0.183753296732903,0.002793
3.88,-0.19332541435661,-0.177192803728262,0.0162339928825515,0.00882904284303221,0.187601119279861,0.003829
3.9,-0.196835002120283,-0.173766386595642,0.0164070751599197,0.00848829271390881,0.190891340374947,0.004828
3.92,-0.200275444047702,-0.170278202794933,0.0165729183752542,0.00810475579041208,0.193681344389915,0.002883
3.94,-0.203645601331155,-0.166737903136359,0.016730789501931,0.00769066440821822,0.196750849485397,0.002773
3.96,-0.206944375943049,-0.163139914858195,0.0168799698080134,0.00723521647799418,0.199360176920891,0.002946
3.98,-0.210170702616844,-0.159493086820377,0.0170197385933217,0.00674901713687693,0.201482743024826,0.004389
4,-0.213323698156902,-0.155806777774465,0.0171495929899373,0.00624325593633665,0.203175261616707,0.004396
4.02,-0.21640265541475,-0.15208923417754,0.0172692359621176,0.00572733737644359,0.204489544034004,0.003037
4.04,-0.219407022027638,-0.148347688557403,0.0173785426532602,0.00520908393403094,0.206321999430656,0.002903
4.06,-0.222336215361375,-0.144571880989782,0.0174772819696691,0.00467004385784219,0.207824572920799,0.002659
4.08,-0.225189613008901,-0.140768093818909,0.0175651009635958,0.00411647705781584,0.208944469690323,0.004472
4.1,-0.227966728466868,-0.136943635405597,0.0176417863595167,0.00355609819592671,0.209682509303093,0.003494
4.12,-0.230667221215929,-0.133105796156488,0.0177072784233308,0.00299655483341008,0.210068583488464,0.002802
4.14,-0.233290890710948,-0.12926128343116,0.017761661591993,0.00244462410317434,0.210468158125877,0.002759
4.16,-0.235837599261224,-0.125409675383244,0.0178050492513418,0.00189642529285985,0.211407512426376,0.002444
4.18,-0.238307098061772,-0.121540281878184,0.0178373233633693,0.00133268456246424,0.211877509951591,0.003892
4.2,-0.240699121376721,-0.117662099742847,0.0178582750937298,0.000763591319394918,0.211741775274277,0.003225
